TimeCreated,EventID,hour_of_day,event_frequency,inter_event_gap_seconds,message_length,anomaly_score,prediction
2023-09-27 04:38:03.741390+05:30,4688,4,6,0.0,1602,0.10217199219522538,normal
2023-09-27 04:38:03.755862200+05:30,4689,4,10,0.0144722,232,0.12874595137001082,normal
2023-09-27 04:38:03.757350900+05:30,4689,4,10,0.0014887,231,0.12920817264587892,normal
2023-09-27 04:38:03.760041800+05:30,4688,4,6,0.0026909,1600,0.10030367094965448,normal
2023-09-27 04:38:03.770072500+05:30,4688,4,6,0.0100307,1602,0.10268634688533612,normal
2023-09-27 04:38:03.782247300+05:30,4689,4,10,0.0121748,232,0.12884839133468406,normal
2023-09-27 04:38:03.784107+05:30,4689,4,10,0.0018597,231,0.12951511061662635,normal
2023-09-27 04:38:03.787088600+05:30,4688,4,6,0.0029816,1600,0.10030367094965448,normal
2023-09-27 04:38:03.797322700+05:30,4688,4,6,0.0102341,1602,0.10268634688533612,normal
2023-09-27 04:38:03.810407300+05:30,4689,4,10,0.0130846,232,0.12884839133468406,normal
2023-09-27 04:38:03.811953100+05:30,4689,4,10,0.0015458,231,0.12920817264587892,normal
2023-09-27 04:38:03.814204500+05:30,4689,4,10,0.0022514,230,0.12473690240258212,normal
2023-09-27 04:38:03.815420600+05:30,4689,4,10,0.0012161,235,0.12492802126101638,normal
2023-09-27 04:38:10.420469100+05:30,4689,4,10,6.6050485,235,0.06969351436152826,normal
2023-09-27 04:38:30.604874900+05:30,4688,4,6,20.1844058,1697,0.005784206143019555,normal
2023-09-27 04:38:37.013379500+05:30,4689,4,10,6.4085046,316,0.054337905993127045,normal
2023-09-27 04:39:20.070062500+05:30,4662,4,9,43.056683,527,-0.07260946024059778,anomaly
2023-09-27 04:39:20.070368300+05:30,4662,4,9,0.0003058,542,0.05494454871945653,normal
2023-09-27 04:39:20.071395700+05:30,4662,4,9,0.0010274,565,0.056265931221438636,normal
2023-09-27 04:39:20.072565400+05:30,4662,4,9,0.0011697,564,0.05710386377532062,normal
2023-09-27 04:39:20.073427+05:30,4662,4,9,0.0008616,580,0.04788340098751376,normal
2023-09-27 04:39:20.076539900+05:30,4688,4,6,0.0031129,1622,0.0935386315878326,normal
2023-09-27 04:39:20.427403500+05:30,4662,4,9,0.3508636,564,0.035212958860497134,normal
2023-09-27 04:39:20.428273400+05:30,4662,4,9,0.0008699,580,0.04776269902879238,normal
2023-09-27 04:39:20.530066100+05:30,4662,4,9,0.1017927,533,0.043925166943006966,normal
2023-09-27 04:39:20.530669300+05:30,4662,4,9,0.0006032,540,0.05459778210885957,normal
2023-09-27 04:39:56.190297800+05:30,4688,4,6,35.6596285,1609,-0.020062025326322064,anomaly
