TimeCreated,EventID,hour_of_day,event_frequency,inter_event_gap_seconds,message_length,anomaly_score,prediction
2026-04-21 05:40:41.195709800+05:30,5,5,75,0.138451,214,0.163031674260658,normal
2026-04-21 05:40:42.663404100+05:30,5,5,75,1.4676943,230,0.13309305937555949,normal
2026-04-21 05:40:42.665264600+05:30,5,5,75,0.0018605,203,0.1708514602519176,normal
2026-04-21 05:40:43.087995300+05:30,5,5,75,0.4227307,240,0.13600814469366362,normal
2026-04-21 05:40:43.093881200+05:30,5,5,75,0.0058859,240,0.14675211496824342,normal
2026-04-21 05:40:46.489671800+05:30,5,5,75,3.3957906,203,0.11727383891526189,normal
2026-04-21 05:40:48.954804200+05:30,5,5,75,2.4651324,204,0.13093118658213498,normal
2026-04-21 05:40:48.956290700+05:30,5,5,75,0.0014865,204,0.17357303790298456,normal
2026-04-21 05:40:49.564276+05:30,5,5,75,0.6079853,205,0.15799460136543614,normal
2026-04-21 05:40:50.427907300+05:30,5,5,75,0.8636313,296,0.005930835398777368,normal
2026-04-21 05:40:50.884255400+05:30,5,5,75,0.4563481,254,0.09619136910777826,normal
2026-04-21 05:40:50.886805900+05:30,5,5,75,0.0025505,203,0.1708514602519176,normal
2026-04-21 05:40:53.100410600+05:30,5,5,75,2.2136047,240,0.1088016940507403,normal
2026-04-21 05:40:53.100656200+05:30,5,5,75,0.0002456,240,0.1454891792961414,normal
2026-04-21 05:40:53.105856800+05:30,5,5,75,0.0052006,240,0.14675211496824342,normal
2026-04-21 05:40:53.129037500+05:30,5,5,75,0.0231807,240,0.14640149800600166,normal
2026-04-21 05:40:53.943044600+05:30,5,5,75,0.8140071,209,0.1519791177228808,normal
2026-04-21 05:40:54.265782400+05:30,5,5,75,0.3227378,212,0.16197089674106752,normal
2026-04-21 05:41:06.256475100+05:30,5,5,102,11.9906927,203,0.026839985183170545,normal
2026-04-21 05:41:11.365946300+05:30,5,5,102,5.1094712,210,0.07726219039644838,normal
2026-04-21 05:41:11.616661700+05:30,5,5,102,0.2507154,217,0.14086998275018625,normal
2026-04-21 05:41:11.623304+05:30,5,5,102,0.0066423,211,0.1567545492800525,normal
2026-04-21 05:41:20.981933+05:30,5,5,102,9.358629,218,0.04109499450404164,normal
2026-04-21 05:41:21.613491400+05:30,5,5,102,0.6315584,203,0.13648497541221716,normal
2026-04-21 05:41:25.177306300+05:30,5,5,102,3.5638149,218,0.09044517712437067,normal
2026-04-21 05:41:26.623877100+05:30,5,5,102,1.4465708,203,0.11730802583191235,normal
2026-04-21 05:41:31.264414800+05:30,5,5,102,4.6405377,218,0.07685525206038862,normal
2026-04-21 05:41:35.579064100+05:30,5,5,102,4.3146493,204,0.08744335222604427,normal
2026-04-21 05:41:36.113500700+05:30,5,5,102,0.5344366,205,0.1453672607006935,normal
2026-04-21 05:41:36.327747400+05:30,5,5,102,0.2142467,221,0.1384663529836404,normal
2026-04-21 05:41:36.633107500+05:30,5,5,102,0.3053601,199,0.117300910570519,normal
2026-04-21 05:41:36.640052700+05:30,5,5,102,0.0069452,204,0.16056370135367798,normal
2026-04-21 05:41:36.727729800+05:30,5,5,102,0.0876771,240,0.12444532861874308,normal
2026-04-21 05:41:36.834305100+05:30,5,5,102,0.1065753,207,0.15876532765996965,normal
2026-04-21 05:41:36.849025200+05:30,5,5,102,0.0147201,202,0.15334767775818053,normal
2026-04-21 05:41:36.857578100+05:30,5,5,102,0.0085529,206,0.16511423115167972,normal
2026-04-21 05:41:36.957027200+05:30,5,5,102,0.0994491,208,0.156244233611041,normal
2026-04-21 05:41:37.008956100+05:30,5,5,102,0.0519289,204,0.1585448493375397,normal
2026-04-21 05:41:37.023906800+05:30,5,5,102,0.0149507,205,0.16356296842669504,normal
2026-04-21 05:41:37.092878+05:30,5,5,102,0.0689712,207,0.16076456066690142,normal
2026-04-21 05:41:37.095276700+05:30,5,5,102,0.0023987,206,0.16532466878767843,normal
2026-04-21 05:41:37.179484+05:30,5,5,102,0.0842073,207,0.16000359355974825,normal
2026-04-21 05:41:37.182871500+05:30,5,5,102,0.0033875,206,0.1653642700159088,normal
2026-04-21 05:41:37.260056500+05:30,5,5,102,0.077185,244,0.11655239361221176,normal
2026-04-21 05:41:37.295576700+05:30,5,5,102,0.0355202,207,0.16167982994684588,normal
2026-04-21 05:41:37.300969200+05:30,5,5,102,0.0053925,202,0.15321807190773296,normal
2026-04-21 05:41:37.303690200+05:30,5,5,102,0.002721,206,0.16532466878767843,normal
2026-04-21 05:41:37.445410600+05:30,5,5,102,0.1417204,207,0.15716457727655503,normal
2026-04-21 05:41:37.449736900+05:30,5,5,102,0.0043263,202,0.15331276862528065,normal
2026-04-21 05:41:37.452310100+05:30,5,5,102,0.0025732,206,0.16532466878767843,normal
2026-04-21 05:41:37.647557400+05:30,5,5,102,0.1952473,207,0.1554741925594199,normal
2026-04-21 05:41:37.650825900+05:30,5,5,102,0.0032685,206,0.16542833403986545,normal
2026-04-21 05:41:37.704582700+05:30,5,5,102,0.0537568,207,0.16123417853001015,normal
2026-04-21 05:41:37.706777+05:30,5,5,102,0.0021943,206,0.16532466878767843,normal
2026-04-21 05:41:37.821931500+05:30,5,5,102,0.1151545,207,0.15782394505793873,normal
2026-04-21 05:41:37.827791500+05:30,5,5,102,0.00586,201,0.14282216372106887,normal
2026-04-21 05:41:37.830624200+05:30,5,5,102,0.0028327,205,0.1637996473275949,normal
2026-04-21 05:41:37.838827700+05:30,5,5,102,0.0082035,227,0.14435798557421925,normal
2026-04-21 05:41:37.845492100+05:30,5,5,102,0.0066644,232,0.13787684102393666,normal
2026-04-21 05:41:37.849547600+05:30,5,5,102,0.0040555,203,0.1566486736810288,normal
2026-04-21 05:41:38.573423100+05:30,5,5,102,0.7238755,208,0.13886007539439493,normal
2026-04-21 05:41:38.838062500+05:30,5,5,102,0.2646394,210,0.14808431752867385,normal
2026-04-21 05:41:39.606328100+05:30,5,5,102,0.7682656,227,0.12451944980229784,normal
2026-04-21 05:41:40.438123500+05:30,5,5,102,0.8317954,241,0.10282897050727607,normal
2026-04-21 05:41:40.446992500+05:30,5,5,102,0.008869,241,0.1263697539066091,normal
2026-04-21 05:41:40.881124+05:30,5,5,102,0.4341315,274,0.04353386911200474,normal
2026-04-21 05:41:41.214816100+05:30,5,5,102,0.3336921,216,0.14148051986063065,normal
2026-04-21 05:41:42.393531100+05:30,5,5,102,1.178715,203,0.12385664824605175,normal
2026-04-21 05:41:43.297403500+05:30,5,5,102,0.9038724,217,0.12407955056821574,normal
2026-04-21 05:41:43.300880800+05:30,5,5,102,0.0034773,213,0.1531353475950401,normal
2026-04-21 05:41:43.659038500+05:30,5,5,102,0.3581577,219,0.13933079369220064,normal
2026-04-21 05:41:44.360833800+05:30,5,5,102,0.7017953,302,-0.011458665965514259,anomaly
2026-04-21 05:41:44.500706+05:30,5,5,102,0.1398722,202,0.14727330477940737,normal
2026-04-21 05:41:44.643379700+05:30,5,5,102,0.1426737,206,0.15920851255433122,normal
2026-04-21 05:41:44.690772+05:30,5,5,102,0.0473923,206,0.16343675960264675,normal
2026-04-21 05:41:44.999783500+05:30,5,5,102,0.3090115,302,-0.004446733087216215,anomaly
2026-04-21 05:41:45.000747500+05:30,5,5,102,0.000964,302,0.002284167914939794,normal
2026-04-21 05:41:45.000866700+05:30,5,5,102,0.0001192,302,0.002412900732257195,normal
2026-04-21 05:41:48.028102400+05:30,5,5,102,3.0272357,207,0.10236952307696273,normal
2026-04-21 05:41:48.229829600+05:30,5,5,102,0.2017272,201,0.13486440814846823,normal
2026-04-21 05:41:48.231306+05:30,5,5,102,0.0014764,205,0.1637996473275949,normal
2026-04-21 05:41:50.433990200+05:30,5,5,102,2.2026842,241,0.08385340123234336,normal
2026-04-21 05:41:50.442221500+05:30,5,5,102,0.0082313,241,0.1263697539066091,normal
2026-04-21 05:41:50.446223900+05:30,5,5,102,0.0040024,241,0.12649139717364816,normal
2026-04-21 05:41:50.454375500+05:30,5,5,102,0.0081516,241,0.1263697539066091,normal
2026-04-21 05:41:53.147161500+05:30,5,5,102,2.692786,264,0.027898407197372466,normal
2026-04-21 05:41:55.019460600+05:30,5,5,102,1.8722991,203,0.11198014154757752,normal
2026-04-21 05:41:55.026384400+05:30,5,5,102,0.0069238,202,0.1532790839984498,normal
2026-04-21 05:41:55.040716700+05:30,5,5,102,0.0143323,202,0.15334767775818053,normal
2026-04-21 05:41:55.050165700+05:30,5,5,102,0.009449,206,0.16502219630363257,normal
2026-04-21 05:41:55.714202300+05:30,5,5,102,0.6640366,236,0.11383101704447546,normal
2026-04-21 05:41:56.717154500+05:30,5,5,102,1.0029522,206,0.13590852930991304,normal
2026-04-21 05:41:56.758949600+05:30,5,5,102,0.0417951,203,0.1551662671977735,normal
2026-04-21 05:41:56.764461400+05:30,5,5,102,0.0055118,202,0.15321807190773296,normal
2026-04-21 05:41:56.769418100+05:30,5,5,102,0.0049567,202,0.15331276862528065,normal
2026-04-21 05:41:56.772832700+05:30,5,5,102,0.0034146,206,0.1653642700159088,normal
2026-04-21 05:41:58.342668500+05:30,5,5,102,1.5698358,224,0.10934376767817239,normal
2026-04-21 05:41:58.671278300+05:30,5,5,102,0.3286098,203,0.14689823791810835,normal
2026-04-21 05:41:58.675495900+05:30,5,5,102,0.0042176,202,0.15300226442746911,normal
2026-04-21 05:41:58.680974400+05:30,5,5,102,0.0054785,202,0.15321807190773296,normal
2026-04-21 05:41:58.683617700+05:30,5,5,102,0.0026433,206,0.16532466878767843,normal
2026-04-21 05:41:58.773301900+05:30,5,5,102,0.0896842,207,0.15981499139880678,normal
2026-04-21 05:41:58.783259700+05:30,5,5,102,0.0099578,202,0.1533737669575671,normal
2026-04-21 05:41:58.787879200+05:30,5,5,102,0.0046195,206,0.16527229156517892,normal
2026-04-21 05:41:58.907714500+05:30,5,5,102,0.1198353,249,0.1008006043030274,normal
2026-04-21 05:41:59.098846300+05:30,5,5,102,0.1911318,249,0.10011945506707248,normal
2026-04-21 05:41:59.222087600+05:30,5,5,102,0.1232413,248,0.1036540951755377,normal
2026-04-21 05:41:59.272797500+05:30,5,5,102,0.0507099,249,0.10426832057289159,normal
2026-04-21 05:41:59.312017200+05:30,5,5,102,0.0392197,203,0.1552395160470192,normal
2026-04-21 05:41:59.319292100+05:30,5,5,102,0.0072749,202,0.1532790839984498,normal
2026-04-21 05:41:59.329654500+05:30,5,5,102,0.0103624,249,0.10538700380696941,normal
2026-04-21 05:41:59.383276100+05:30,5,5,102,0.0536216,249,0.10312341667984237,normal
2026-04-21 05:41:59.452920300+05:30,5,5,102,0.0696442,229,0.1406638170334864,normal
2026-04-21 05:41:59.481412300+05:30,5,5,102,0.028492,203,0.15532052677331837,normal
2026-04-21 05:41:59.489001900+05:30,5,5,102,0.0075896,202,0.1534684285653607,normal
2026-04-21 05:41:59.614924200+05:30,5,5,102,0.1259223,203,0.15081522647222118,normal
2026-04-21 05:41:59.619583100+05:30,5,5,102,0.0046589,202,0.15331276862528065,normal
2026-04-21 05:41:59.631282300+05:30,5,5,102,0.0116992,207,0.16328983079692805,normal
2026-04-21 05:41:59.768494900+05:30,5,5,102,0.1372126,203,0.15061406641099767,normal
2026-04-21 05:41:59.774458900+05:30,5,5,102,0.005964,202,0.15321807190773296,normal
2026-04-21 05:42:00.670089500+05:30,5,5,246,0.8956306,211,0.0359561726703036,normal
2026-04-21 05:42:00.722813+05:30,5,5,246,0.0527235,295,-0.051819294823044815,anomaly
2026-04-21 05:42:00.726527600+05:30,5,5,246,0.0037146,206,0.12292308062600338,normal
2026-04-21 05:42:00.729015400+05:30,5,5,246,0.0024878,295,-0.046000424069993384,anomaly
2026-04-21 05:42:00.732412500+05:30,5,5,246,0.0033971,206,0.12257263443186117,normal
2026-04-21 05:42:00.843294800+05:30,5,5,246,0.1108823,259,-0.0028468847831498723,anomaly
2026-04-21 05:42:00.877869300+05:30,5,5,246,0.0345745,295,-0.05038222555822491,anomaly
2026-04-21 05:42:00.879637500+05:30,5,5,246,0.0017682,206,0.12027630780595511,normal
2026-04-21 05:42:01.151844400+05:30,5,5,246,0.2722069,241,0.035947786973917206,normal
2026-04-21 05:42:01.161509300+05:30,5,5,246,0.0096649,228,0.06650945447284207,normal
2026-04-21 05:42:01.164938600+05:30,5,5,246,0.0034293,215,0.0921168544741105,normal
2026-04-21 05:42:01.173458100+05:30,5,5,246,0.0085195,207,0.11317898085610367,normal
2026-04-21 05:42:01.561651800+05:30,5,5,246,0.3881937,206,0.06793289342898456,normal
2026-04-21 05:42:01.566121400+05:30,5,5,246,0.0044696,206,0.1235799968761972,normal
